Fecha;Banco Mercantil Santa Cruz S.A.;Banco Nacional de Bolivia S.A.;Banco Unión S.A.;Banco BISA S.A.;Banco de Crédito de Bolivia S.A.;Banco Fassil S.A.;Banco para el Fomento a Iniciativas Económicas S.A.;Banco Ganadero S.A.
enero-2018;28568977.7;19767511.99;17388176.95;15800969.81;15198768.51;11128771.41;8386875.104;8475911.96
febrero-2018;28233322.69;19841237.88;16951921.31;15772056.24;15822955.27;11040161.2;8662370.868;8361435.244
marzo-2018;29233393.7;19847765.58;17974262.35;15321574.82;15278160.49;11097741.76;8550737.255;8497839.263
abril-2018;29250300.28;20175776.76;16597552.73;15219474.05;14999571.82;11034187.34;8741110.07;8570618.8
mayo-2018;28659046.43;20733032.45;17770385.7;15816726.05;15323934.65;11173771.65;8918232.415;8762797.761
junio-2018;28791112.48;20986666.48;18578689.54;15854492.53;15839755.82;11318339.34;8729360.152;8658546.474
julio-2018;28908699.44;20657086.55;18259738.33;15359251.46;15482018.81;11598691.52;8565720.665;8612467.073
agosto-2018;29202267.35;20926254;18948949.42;15782025.31;15668129.04;11709784;8743048.934;9003773.629
septiembre-2018;27941319.57;20878480.63;19956273.91;15432470.35;15543371.16;11753440.62;8754839.38;8873118.743
octubre-2018;27796162.4;20559749.9;20752028.45;16230000.09;15577544.05;12145066.86;8824474.441;9026344.738
noviembre-2018;27766122.3;20378676.28;20694932.3;16173266.16;15812757.9;12357987.64;8943175.741;8903508.261
diciembre-2018;28284389.97;20736691.29;23236078.4;16271119.97;15941866.3;12057631.44;9352024.944;8470071.485
enero-2019;28185979.29;20470449.87;20623082.98;15922723.11;15699240.1;12278526.95;9537719.89;8501295.854
febrero-2019;28085218.89;20625878.46;20161000.65;16120448.37;15637131.36;12275796.86;9306915.981;8665870.447
marzo-2019;28848512.87;20739372.63;20059647.89;16172092.43;15611306.84;12572157.23;9343766.96;8310163.969
abril-2019;28300689.34;20480879.59;20498173.23;15976749.5;15343608.92;11998974.02;9511816.81;7840289.817
mayo-2019;28770846.02;20489114.8;20642112.44;16665393.17;15489047.09;12377463.47;9993908.113;8286597.279
junio-2019;28767731.35;20745992.3;21001506.31;16570088.08;15458668.81;12525528.72;9988793.918;8359942.303
julio-2019;28919138.63;20529136.9;20545011.54;16511444.25;15573641.74;12964049.57;9544725.059;8637025.912
agosto-2019;28624287.3;20744253.42;20802340.55;16431344.23;15416457.38;13136753.24;9635825.779;8582963.526
septiembre-2019;28560216.26;20894383.57;20373404.97;16675445.17;15651058.38;13061150.33;9907138.985;8603301.848
octubre-2019;27955805.78;20837083.43;19453018.21;17070756.87;15564720.44;12796804.17;9932585.525;8519548.801
noviembre-2019;27089822.54;20879613.31;18017421.4;16865908.22;15128515.37;12641683.88;9422414.957;8765380.572
diciembre-2019;27828839.23;21153858.65;19183762.67;17249379.84;15902396.83;13461472.08;9676982.903;8937264.236
enero-2020;27492724.74;20906117.04;18331227.52;17332982.99;15282658.81;13308095.25;9336619.232;8990845.34
febrero-2020;27771064.59;20652047.09;18850966.61;17141541.41;15084089.21;13374185.75;9755899.069;8952450.041
marzo-2020;28205527.6;21307117.85;20003231.95;18055320.44;16096400.35;13123680;9914299.904;8996368.421
abril-2020;28650991.74;22132874.14;21023184.4;18182569.78;16602592.34;13880055.67;10022825.93;9272479.088
mayo-2020;28694288.3;22498555.48;21213828.3;18465538.66;16651252.73;14559364.54;9644809.559;9374105.733
junio-2020;28637895.15;22198000.16;21409454.69;18307166.66;16114531.85;14515329.14;9817633.479;9385601.876
julio-2020;28498401.88;21957362.85;21083658.76;18189226.88;15960844.75;15158180.13;10007795.51;9384156.23
