Fecha;Banco Mercantil Santa Cruz S.A.;Banco Nacional de Bolivia S.A.;Banco Unión S.A.;Banco BISA S.A.;Banco de Crédito de Bolivia S.A.;Banco Fassil S.A.;Banco para el Fomento a Iniciativas Económicas S.A.;Banco Ganadero S.A.
ene-18;4164.57;2881.56;2534.72;2303.35;2215.56;1622.27;1222.58;1235.56
feb-18;4115.64;2892.31;2471.13;2299.13;2306.55;1609.35;1262.74;1218.87
mar-18;4261.43;2893.26;2620.15;2233.47;2227.14;1617.75;1246.46;1238.75
abr-18;4263.89;2941.08;2419.47;2218.58;2186.53;1608.48;1274.21;1249.36
may-18;4177.70;3022.31;2590.44;2305.65;2233.81;1628.83;1300.03;1277.38
jun-18;4196.96;3059.28;2708.26;2311.15;2309.00;1649.90;1272.50;1262.18
jul-18;4214.10;3011.24;2661.77;2238.96;2256.85;1690.77;1248.65;1255.46
ago-18;4256.89;3050.47;2762.24;2300.59;2283.98;1706.97;1274.50;1312.50
sep-18;4073.08;3043.51;2909.08;2249.63;2265.80;1713.33;1276.22;1293.46
oct-18;4051.92;2997.05;3025.08;2365.89;2270.78;1770.42;1286.37;1315.79
nov-18;4047.54;2970.65;3016.75;2357.62;2305.07;1801.46;1303.67;1297.89
dic-18;4123.09;3022.84;3387.18;2371.88;2323.89;1757.67;1363.27;1234.70
ene-19;4108.74;2984.03;3006.28;2321.10;2288.52;1789.87;1390.34;1239.26
feb-19;4094.06;3006.69;2938.92;2349.92;2279.47;1789.47;1356.69;1263.25
mar-19;4205.32;3023.23;2924.15;2357.45;2275.70;1832.68;1362.07;1211.39
abr-19;4125.46;2985.55;2988.07;2328.97;2236.68;1749.12;1386.56;1142.90
may-19;4194.00;2986.75;3009.05;2429.36;2257.88;1804.29;1456.84;1207.96
jun-19;4193.55;3024.20;3061.44;2415.46;2253.45;1825.88;1456.09;1218.65
jul-19;4215.62;2992.59;2994.90;2406.92;2270.21;1889.80;1391.36;1259.04
ago-19;4172.64;3023.94;3032.41;2395.24;2247.30;1914.98;1404.64;1251.16
sep-19;4163.30;3045.83;2969.88;2430.82;2281.50;1903.96;1444.19;1254.13
oct-19;4075.19;3037.48;2835.72;2488.45;2268.91;1865.42;1447.90;1241.92
nov-19;3948.95;3043.68;2626.45;2458.59;2205.32;1842.81;1373.53;1277.75
dic-19;4056.68;3083.65;2796.47;2514.49;2318.13;1962.31;1410.64;1302.81
ene-20;4007.69;3047.54;2672.19;2526.67;2227.79;1939.96;1361.02;1310.62
feb-20;4048.26;3010.50;2747.95;2498.77;2198.85;1949.59;1422.14;1305.02
mar-20;4111.59;3105.99;2915.92;2631.97;2346.41;1913.07;1445.23;1311.42
abr-20;4176.53;3226.37;3064.60;2650.52;2420.20;2023.33;1461.05;1351.67
may-20;4182.84;3279.67;3092.39;2691.77;2427.30;2122.36;1405.95;1366.49
jun-20;4174.62;3235.86;3120.91;2668.68;2349.06;2115.94;1431.14;1368.16
jul-20;4154.29;3200.78;3073.42;2651.49;2326.65;2209.65;1458.86;1367.95
