Longitud;Latitud;Name;Nombre_PAF;Departamento;Ciudad
-68.07278333;-16.54535556;BNB;BNB LOS PINOS;LA PAZ;LA PAZ
-68.08716944;-16.53200278;BNB;BNB MEGA CENTER;LA PAZ;LA PAZ
-68.12624444;-16.51029167;BNB;BNB PLAZA ABAROA;LA PAZ;LA PAZ
-68.13063611;-16.50499722;BNB;BNB PLAZA BICENTENARIO;LA PAZ;LA PAZ
-68.12904167;-16.51405833;BNB;BNB PLAZA ESPAÑA;LA PAZ;LA PAZ
-68.13474167;-16.50223611;BNB;BNB PLAZA SUCRE SAN PEDRO;LA PAZ;LA PAZ
-68.13479167;-16.49656944;BNB;BNB SHOPPING NORTE;LA PAZ;LA PAZ
-68.14075833;-16.48843611;BNB;BNB TERMINAL DE BUSES;LA PAZ;LA PAZ
-68.12758611;-16.51081667;BNB;BNB TERRASUR;LA PAZ;LA PAZ
-68.12020833;-16.50349167;BNB;BNB UNIVALLE;LA PAZ;LA PAZ
-68.14968889;-16.47780278;BNB;BNB UNIVERSIDAD SALESIANA;LA PAZ;LA PAZ
-68.17700278;-16.50901389;BNB;BNB AEROPUERTO;LA PAZ;EL ALTO
-68.16383333;-16.50651667;BNB;BNB AV. 6 DE MARZO I ;LA PAZ;EL ALTO
-68.17494167;-16.49943056;BNB;BNB AGENCIA 16 DE JULIO;LA PAZ;EL ALTO
-68.16382778;-16.50650833;BNB;BNB AV. 6 DE MARZO II;LA PAZ;EL ALTO
-68.19035278;-16.53507778;BNB;BNB AGENCIA VILLA ADELA;LA PAZ;EL ALTO
-68.16241111;-16.50673056;BNB;BNB CALLE 2 CEJA;LA PAZ;EL ALTO
-66.17886111;-17.41395556;BNB;BNB AEROPUERTO JW;COCHABAMBA;COCHABAMBA
-66.15292222;-17.38487778;BNB;BNB AGENCIA AUTOBANCO;COCHABAMBA;COCHABAMBA
-66.16949444;-17.39422222;BNB;BNB AGENCIA BLANCO GALINDO;COCHABAMBA;COCHABAMBA
-66.15724722;-17.39563889;BNB;BNB AGENCIA CENTRAL I;COCHABAMBA;COCHABAMBA
-66.15730278;-17.39561111;BNB;BNB AGENCIA CENTRAL II;COCHABAMBA;COCHABAMBA
-66.1639;-17.39329444;BNB;BNB AGENCIA HEROINAS;COCHABAMBA;COCHABAMBA
-66.15552052;-17.37314422;BNB;BNB AGENCIA NORTE I;COCHABAMBA;COCHABAMBA
-66.15320556;-17.40177222;BNB;BNB AGENCIA MYPE SUD;COCHABAMBA;COCHABAMBA
-66.14810833;-17.38718333;BNB;BNB ANICETO ARCE;COCHABAMBA;COCHABAMBA
-66.17592778;-17.37150833;BNB;BNB AV. AMERICA;COCHABAMBA;COCHABAMBA
-66.170725;-17.38805278;BNB;BNB AV. PERU;COCHABAMBA;COCHABAMBA
-66.15961667;-17.38331944;BNB;BNB BURGER KING;COCHABAMBA;COCHABAMBA
-66.14343056;-17.37383333;BNB;BNB COLEGIO PEDRO POVEDA;COCHABAMBA;COCHABAMBA
-66.18214722;-17.39365556;BNB;BNB HIPERMAXI I;COCHABAMBA;COCHABAMBA
-66.15107222;-17.38481111;BNB;BNB HIPERMAXI II;COCHABAMBA;COCHABAMBA
-66.15116944;-17.37261944;BNB;BNB IC NORTE I;COCHABAMBA;COCHABAMBA
-66.17998056;-17.38855833;BNB;BNB IC NORTE II;COCHABAMBA;COCHABAMBA
-66.15579722;-17.40462778;BNB;BNB LA CANCHA;COCHABAMBA;COCHABAMBA
-66.12935278;-17.37538889;BNB;BNB SUPER BARATO;COCHABAMBA;COCHABAMBA
-66.16554444;-17.37871389;BNB;BNB SURTIDOR EL CRISTO;COCHABAMBA;COCHABAMBA
-66.15789167;-17.40254167;BNB;BNB TERMINAL DE BUSES;COCHABAMBA;COCHABAMBA
-66.22555833;-17.33055833;BNB;BNB TIQUIPAYA;COCHABAMBA;COCHABAMBA
-64.34410833;-22.73412778;BNB;BNB AGENCIA BERMEJO;TARIJA;BERMEJO
-66.28183333;-17.39719444;BNB;BNB AGENCIA QUILLACOLLO;COCHABAMBA;QUILLACOLLO
-67.11466667;-17.97066667;BNB;BNB AGENCIA CENTRAL;ORURO;ORURO
